annualized_return,annualized_volatility,sharpe_ratio,sortino_ratio,max_drawdown,calmar_ratio,window_id,train_start,train_end,test_start,test_end,method
0.09344781371237262,0.1051597101503822,0.8886275321483756,1.442204384239247,-0.17129783088958106,0.5455282955252906,0,2015-12-02,2022-11-30,2022-12-01,2025-12-01,equal_weights
0.09139692302183519,0.10517179815074254,0.8690250107812757,1.410552455446215,-0.17129783088958014,0.5335556355103547,1,2015-12-03,2022-12-01,2022-12-02,2025-12-01,equal_weights
0.0941457069062498,0.10513718201762393,0.8954558710777348,1.4520990794738746,-0.17129783088958125,0.5496024463201534,2,2015-12-04,2022-12-02,2022-12-05,2025-12-01,equal_weights
0.09551567141043395,0.10518215824971501,0.9080976564834154,1.4713329873483525,-0.17129783088958075,0.5576000052913905,3,2015-12-07,2022-12-05,2022-12-06,2025-12-01,equal_weights
0.09612537122142889,0.1052483066565662,0.9133198839492384,1.4799761976006833,-0.17129783088958125,0.561159302031042,4,2015-12-08,2022-12-06,2022-12-07,2025-12-01,equal_weights
0.09431481808106922,0.10527413454526521,0.895897349225096,1.4521003567256352,-0.17129783088958062,0.5505896810909706,5,2015-12-09,2022-12-07,2022-12-08,2025-12-01,equal_weights
0.09507298762476803,0.10533773502370362,0.9025539385612784,1.4627182811394197,-0.1712978308895801,0.555015712289158,6,2015-12-10,2022-12-08,2022-12-09,2025-12-01,equal_weights
0.09477023880820853,0.10540819502100453,0.8990784709796408,1.4580604257418102,-0.1712978308895802,0.553248329625949,7,2015-12-11,2022-12-09,2022-12-12,2025-12-01,equal_weights
0.09867496334404638,0.10526877486282121,0.9373621330031872,1.521073989296367,-0.1712978308895811,0.5760432740543717,8,2015-12-14,2022-12-12,2022-12-13,2025-12-01,equal_weights
0.09772108671746475,0.10532805805873266,0.927778300659202,1.5063699866140228,-0.17129783088958137,0.5704747468778855,9,2015-12-15,2022-12-13,2022-12-14,2025-12-01,equal_weights
0.13097495170315282,0.1852454338719401,0.7070347104679278,1.1372313497725723,-0.17693481924318255,0.7402440755493037,0,2015-12-02,2022-11-30,2022-12-01,2025-12-01,markowitz_mv
0.13020009229447005,0.18528347818553148,0.7027075137487201,1.1309609671136052,-0.17389319474969184,0.7487359840727797,1,2015-12-03,2022-12-01,2022-12-02,2025-12-01,markowitz_mv
0.13214173003256793,0.18632497269546633,0.7092003187814406,1.141084839042849,-0.16881374031833607,0.7827664370411149,2,2015-12-04,2022-12-02,2022-12-05,2025-12-01,markowitz_mv
0.13479896067134697,0.186034468985053,0.72459131582856,1.1644616272554613,-0.16879333161415216,0.7986035904515851,3,2015-12-07,2022-12-05,2022-12-06,2025-12-01,markowitz_mv
0.1351947692279495,0.18778373333291884,0.7199493099237985,1.1586325399520974,-0.16781592234772774,0.805613480154853,4,2015-12-08,2022-12-06,2022-12-07,2025-12-01,markowitz_mv
0.13449561607462848,0.18528108560449064,0.7259004103728586,1.167729159867693,-0.1654480421108879,0.8129175441344042,5,2015-12-09,2022-12-07,2022-12-08,2025-12-01,markowitz_mv
0.13736994015093285,0.18523021201403442,0.7416173563550458,1.1914221915311416,-0.16547534026853097,0.8301535438936757,6,2015-12-10,2022-12-08,2022-12-09,2025-12-01,markowitz_mv
0.14006788377687718,0.1854242476965984,0.7553914092512007,1.2127379302708388,-0.1654446620638648,0.8466147050595583,7,2015-12-11,2022-12-09,2022-12-12,2025-12-01,markowitz_mv
0.14488147954310598,0.18597281807748897,0.7790465350841673,1.249887512717439,-0.16529997058299087,0.8764761362759376,8,2015-12-14,2022-12-12,2022-12-13,2025-12-01,markowitz_mv
0.14147494566413582,0.18767990675995555,0.7538097610261693,1.2095315277703231,-0.16487969380010192,0.8580495414775471,9,2015-12-15,2022-12-13,2022-12-14,2025-12-01,markowitz_mv
